order,lon,lat,latlon,notes,location,spininital,spinfinish,runs
1,-72.25,42.75,lat42.75lon-72.25,PHA,geo,16-Jan-16,18-Jan-16,26-Jan-16
2,-68.75,45.25,lat45.25lon-68.75,PHO,geo,16-Jan-16,18-Jan-16,27-Jan-16
3,-89.75,46.25,lat46.25lon-89.75,PUN,geo,16-Jan-16,18-Jan-16,25-Jan-16
4,-94.75,46.25,lat46.25lon-94.75,PBL,geo,16-Jan-16,18-Jan-16,26-Jan-16
5,-95.25,47.25,lat47.25lon-95.25,PDL,geo,16-Apr-16,23-Apr-16,*ashiklom
6,-82.75,43.75,lat43.75lon-82.75,PMB,geo,16-Apr-16,16-Apr-16,24-Apr-16
7,-97.25,37.75,lat37.75lon-97.25,10-degree,geo,15-Apr-16,21-Apr-16,*crolli
8,-87.25,37.75,lat37.75lon-87.25,10-degree,geo,15-Apr-16,20-Apr-16,25-Apr-16
9,-77.25,37.75,lat37.75lon-77.25,10-degree,geo,17-Apr-16,22-Apr-16,*ashiklom
10,-97.25,47.75,lat47.75lon-97.25,10-degree,geo,17-Apr-16,23-Apr-16,
11,-77.25,47.75,lat47.75lon-77.25,10-degree,geo,18-Apr-16,24-Apr-16,*ashkilom
12,-67.25,47.75,lat47.75lon-67.25,10-degree,geo,17-Apr-16,23-Apr-16,*crolli
13,-92.25,42.75,lat42.75lon-92.25,5-degree,geo,17-Apr-16,22-Apr-16,*crolli
14,-82.25,42.75,lat42.75lon-82.25,5-degree,geo,17-Apr-16,21-Apr-16,*crolli
15,-92.25,37.75,lat37.75lon-92.25,5-degree,geo,24-Feb-16,3-Mar-16,9-Mar-16
16,-82.25,37.75,lat37.75lon-82.25,5-degree,geo,24-Feb-16,3-Mar-16,17-Apr-16
17,-97.25,42.75,lat42.75lon-97.25,5-degree,geo,24-Feb-16,2-Mar-16,22-Apr-16
18,-77.25,42.75,lat42.75lon-77.25,5-degree,geo,31-Jan-16,4-Feb-16,18-Apr-16
19,-92.25,47.75,lat47.75lon-92.25,5-degree,geo,31-Jan-16,4-Feb-16,
20,-82.25,47.75,lat47.75lon-82.25,5-degree,geo,31-Jan-16,2-Feb-16,*ashiklom
21,-72.25,47.75,lat47.75lon-72.25,5-degree,geo,31-Jan-16,4-Feb-16,24-Apr-16
22,-99.75,35.25,lat35.25lon-99.75,2.5-degree,geo,31-Jan-16,6-Feb-16,18-Apr-16
23,-94.75,35.25,lat35.25lon-94.75,2.5-degree,geo,31-Jan-16,2-Feb-16,23-Feb-16
24,-89.75,35.25,lat35.25lon-89.75,2.5-degree,geo,3-Feb-16,1-Mar-16,18-Apr-16
25,-84.75,35.25,lat35.25lon-84.75,2.5-degree,geo,3-Feb-16,1-Mar-16,18-Apr-16
26,-79.75,35.25,lat35.25lon-79.75,2.5-degree,geo,3-Feb-16,1-Mar-16,21-Apr-16
27,-99.75,40.25,lat40.25lon-99.75,2.5-degree,geo,12-Mar-16,17-Mar-16,16-Apr-16
28,-94.75,40.25,lat40.25lon-94.75,2.5-degree,geo,13-Mar-16,17-Mar-16,23-Mar-16
29,-89.75,40.25,lat40.25lon-89.75,2.5-degree,geo,16-Mar-16,17-Mar-16,23-Mar-16
30,-84.75,40.25,lat40.25lon-84.75,2.5-degree,geo,16-Mar-16,17-Mar-16,23-Mar-16
31,-79.75,40.25,lat40.25lon-79.75,2.5-degree,geo,16-Mar-16,17-Mar-16,23-Mar-16
32,-74.75,40.25,lat40.25lon-74.75,2.5-degree,geo,16-Mar-16,17-Mar-16,24-Mar-16
33,-99.75,45.25,lat45.25lon-99.75,2.5-degree,geo,13-Mar-16,17-Mar-16,23-Mar-16
34,-94.75,45.25,lat45.25lon-94.75,2.5-degree,geo,13-Mar-16,17-Mar-16,29-Mar-16
35,-89.75,45.25,lat45.25lon-89.75,2.5-degree,geo,26-Mar-16,5-Apr-16,12-Apr-16
36,-84.75,45.25,lat45.25lon-84.75,2.5-degree,geo,ERROR,,
37,-79.75,45.25,lat45.25lon-79.75,2.5-degree,geo,26-Mar-16,5-Apr-16,13-Apr-16
38,-74.75,45.25,lat45.25lon-74.75,2.5-degree,geo,26-Mar-16,5-Apr-16,12-Apr-16
39,-69.75,45.25,lat45.25lon-69.75,2.5-degree,geo,26-Mar-16,5-Apr-16,19-Apr-16
40,-64.75,45.25,lat45.25lon-64.75,2.5-degree,geo,26-Mar-16,5-Apr-16,12-Apr-16
41,-97.25,35.25,lat35.25lon-97.25,2.5-degree,geo,25-Mar-16,5-Apr-16,11-Apr-16
42,-92.25,35.25,lat35.25lon-92.25,2.5-degree,geo,25-Mar-16,5-Apr-16,11-Apr-16
43,-87.25,35.25,lat35.25lon-87.25,2.5-degree,geo,26-Mar-16,5-Apr-16,11-Apr-16
44,-82.25,35.25,lat35.25lon-82.25,2.5-degree,,,,
45,-77.25,35.25,lat35.25lon-77.25,2.5-degree,,,,
46,-99.75,37.75,lat37.75lon-99.75,2.5-degree,,,,
47,-94.75,37.75,lat37.75lon-94.75,2.5-degree,,,,
48,-89.75,37.75,lat37.75lon-89.75,2.5-degree,,,,
49,-84.75,37.75,lat37.75lon-84.75,2.5-degree,,,,
50,-79.75,37.75,lat37.75lon-79.75,2.5-degree,,,,
51,-97.25,40.25,lat40.25lon-97.25,2.5-degree,,,,
52,-92.25,40.25,lat40.25lon-92.25,2.5-degree,,,,
53,-87.25,40.25,lat40.25lon-87.25,2.5-degree,,,,
54,-82.25,40.25,lat40.25lon-82.25,2.5-degree,,,,
55,-77.25,40.25,lat40.25lon-77.25,2.5-degree,,,,
56,-99.75,42.75,lat42.75lon-99.75,2.5-degree,,,,
57,-94.75,42.75,lat42.75lon-94.75,2.5-degree,,,,
58,-89.75,42.75,lat42.75lon-89.75,2.5-degree,,,,
59,-84.75,42.75,lat42.75lon-84.75,2.5-degree,,,,
60,-74.75,42.75,lat42.75lon-74.75,2.5-degree,,,,
61,-97.25,45.25,lat45.25lon-97.25,2.5-degree,,,,
62,-92.25,45.25,lat45.25lon-92.25,2.5-degree,,,,
63,-77.25,45.25,lat45.25lon-77.25,2.5-degree,,,,
64,-72.25,45.25,lat45.25lon-72.25,2.5-degree,,,,
65,-67.25,45.25,lat45.25lon-67.25,2.5-degree,,,,
66,-99.75,47.75,lat47.75lon-99.75,2.5-degree,,,,
67,-94.75,47.75,lat47.75lon-94.75,2.5-degree,,,,
68,-84.75,47.75,lat47.75lon-84.75,2.5-degree,,,,
69,-79.75,47.75,lat47.75lon-79.75,2.5-degree,,,,
70,-74.75,47.75,lat47.75lon-74.75,2.5-degree,,,,
71,-69.75,47.75,lat47.75lon-69.75,2.5-degree,,,,
72,-98.25,36.75,lat36.75lon-98.25,1.5-degree,,,,
73,-96.75,36.75,lat36.75lon-96.75,1.5-degree,,,,
74,-95.25,36.75,lat36.75lon-95.25,1.5-degree,,,,
75,-93.75,36.75,lat36.75lon-93.75,1.5-degree,,,,
76,-90.75,36.75,lat36.75lon-90.75,1.5-degree,,,,
77,-89.25,36.75,lat36.75lon-89.25,1.5-degree,,,,
78,-87.75,36.75,lat36.75lon-87.75,1.5-degree,,,,
79,-86.25,36.75,lat36.75lon-86.25,1.5-degree,,,,
80,-83.25,36.75,lat36.75lon-83.25,1.5-degree,,,,
81,-81.75,36.75,lat36.75lon-81.75,1.5-degree,,,,
82,-80.25,36.75,lat36.75lon-80.25,1.5-degree,,,,
83,-78.75,36.75,lat36.75lon-78.75,1.5-degree,,,,
84,-98.25,38.25,lat38.25lon-98.25,1.5-degree,,,,
85,-96.75,38.25,lat38.25lon-96.75,1.5-degree,,,,
86,-95.25,38.25,lat38.25lon-95.25,1.5-degree,,,,
87,-93.75,38.25,lat38.25lon-93.75,1.5-degree,,,,
88,-90.75,38.25,lat38.25lon-90.75,1.5-degree,,,,
89,-89.25,38.25,lat38.25lon-89.25,1.5-degree,,,,
90,-87.75,38.25,lat38.25lon-87.75,1.5-degree,,,,
91,-86.25,38.25,lat38.25lon-86.25,1.5-degree,,,,
92,-83.25,38.25,lat38.25lon-83.25,1.5-degree,,,,
93,-81.75,38.25,lat38.25lon-81.75,1.5-degree,,,,
94,-80.25,38.25,lat38.25lon-80.25,1.5-degree,,,,
95,-78.75,38.25,lat38.25lon-78.75,1.5-degree,,,,
96,-75.75,38.25,lat38.25lon-75.75,1.5-degree,,,,
97,-98.25,39.75,lat39.75lon-98.25,1.5-degree,,,,
98,-96.75,39.75,lat39.75lon-96.75,1.5-degree,,,,
99,-95.25,39.75,lat39.75lon-95.25,1.5-degree,,,,
100,-93.75,39.75,lat39.75lon-93.75,1.5-degree,,,,
101,-90.75,39.75,lat39.75lon-90.75,1.5-degree,,,,
102,-89.25,39.75,lat39.75lon-89.25,1.5-degree,,,,
103,-87.75,39.75,lat39.75lon-87.75,1.5-degree,,,,
104,-86.25,39.75,lat39.75lon-86.25,1.5-degree,,,,
105,-83.25,39.75,lat39.75lon-83.25,1.5-degree,,,,
106,-81.75,39.75,lat39.75lon-81.75,1.5-degree,,,,
107,-80.25,39.75,lat39.75lon-80.25,1.5-degree,,,,
108,-78.75,39.75,lat39.75lon-78.75,1.5-degree,,,,
109,-75.75,39.75,lat39.75lon-75.75,1.5-degree,,,,
110,-98.25,41.25,lat41.25lon-98.25,1.5-degree,,,,
111,-96.75,41.25,lat41.25lon-96.75,1.5-degree,,,,
112,-95.25,41.25,lat41.25lon-95.25,1.5-degree,,,,
113,-93.75,41.25,lat41.25lon-93.75,1.5-degree,,,,
114,-90.75,41.25,lat41.25lon-90.75,1.5-degree,,,,
115,-89.25,41.25,lat41.25lon-89.25,1.5-degree,,,,
116,-87.75,41.25,lat41.25lon-87.75,1.5-degree,,,,
117,-86.25,41.25,lat41.25lon-86.25,1.5-degree,,,,
118,-83.25,41.25,lat41.25lon-83.25,1.5-degree,,,,
119,-81.75,41.25,lat41.25lon-81.75,1.5-degree,,,,
120,-80.25,41.25,lat41.25lon-80.25,1.5-degree,,,,
121,-78.75,41.25,lat41.25lon-78.75,1.5-degree,,,,
122,-75.75,41.25,lat41.25lon-75.75,1.5-degree,,,,
123,-74.25,41.25,lat41.25lon-74.25,1.5-degree,,,,
124,-98.25,44.25,lat44.25lon-98.25,1.5-degree,,,,
125,-96.75,44.25,lat44.25lon-96.75,1.5-degree,,,,
126,-95.25,44.25,lat44.25lon-95.25,1.5-degree,,,,
127,-93.75,44.25,lat44.25lon-93.75,1.5-degree,,,,
128,-90.75,44.25,lat44.25lon-90.75,1.5-degree,,,,
129,-89.25,44.25,lat44.25lon-89.25,1.5-degree,,,,
130,-87.75,44.25,lat44.25lon-87.75,1.5-degree,,,,
131,-86.25,44.25,lat44.25lon-86.25,1.5-degree,,,,
132,-80.25,44.25,lat44.25lon-80.25,1.5-degree,,,,
133,-75.75,44.25,lat44.25lon-75.75,1.5-degree,,,,
134,-74.25,44.25,lat44.25lon-74.25,1.5-degree,,,,
135,-72.75,44.25,lat44.25lon-72.75,1.5-degree,,,,
136,-71.25,44.25,lat44.25lon-71.25,1.5-degree,,,,
137,-65.25,44.25,lat44.25lon-65.25,1.5-degree,,,,
138,-98.25,45.75,lat45.75lon-98.25,1.5-degree,,,,
139,-96.75,45.75,lat45.75lon-96.75,1.5-degree,,,,
140,-95.25,45.75,lat45.75lon-95.25,1.5-degree,,,,
141,-93.75,45.75,lat45.75lon-93.75,1.5-degree,,,,
142,-90.75,45.75,lat45.75lon-90.75,1.5-degree,,,,
143,-89.25,45.75,lat45.75lon-89.25,1.5-degree,,,,
144,-87.75,45.75,lat45.75lon-87.75,1.5-degree,,,,
145,-78.75,45.75,lat45.75lon-78.75,1.5-degree,,,,
146,-75.75,45.75,lat45.75lon-75.75,1.5-degree,,,,
147,-74.25,45.75,lat45.75lon-74.25,1.5-degree,,,,
148,-72.75,45.75,lat45.75lon-72.75,1.5-degree,,,,
149,-71.25,45.75,lat45.75lon-71.25,1.5-degree,,,,
150,-68.25,45.75,lat45.75lon-68.25,1.5-degree,,,,
151,-66.75,45.75,lat45.75lon-66.75,1.5-degree,,,,
152,-63.75,45.75,lat45.75lon-63.75,1.5-degree,,,,
153,-62.25,45.75,lat45.75lon-62.25,1.5-degree,,,,
154,-98.25,47.25,lat47.25lon-98.25,1.5-degree,,,,
155,-96.75,47.25,lat47.25lon-96.75,1.5-degree,,,,
156,-93.75,47.25,lat47.25lon-93.75,1.5-degree,,,,
157,-83.25,47.25,lat47.25lon-83.25,1.5-degree,,,,
158,-81.75,47.25,lat47.25lon-81.75,1.5-degree,,,,
159,-80.25,47.25,lat47.25lon-80.25,1.5-degree,,,,
160,-78.75,47.25,lat47.25lon-78.75,1.5-degree,,,,
161,-75.75,47.25,lat47.25lon-75.75,1.5-degree,,,,
162,-74.25,47.25,lat47.25lon-74.25,1.5-degree,,,,
163,-72.75,47.25,lat47.25lon-72.75,1.5-degree,,,,
164,-71.25,47.25,lat47.25lon-71.25,1.5-degree,,,,
165,-68.25,47.25,lat47.25lon-68.25,1.5-degree,,,,
166,-66.75,47.25,lat47.25lon-66.75,1.5-degree,,,,
167,-65.25,47.25,lat47.25lon-65.25,1.5-degree,,,,
168,-98.25,48.75,lat48.75lon-98.25,1.5-degree,,,,
169,-96.75,48.75,lat48.75lon-96.75,1.5-degree,,,,
170,-95.25,48.75,lat48.75lon-95.25,1.5-degree,,,,
171,-93.75,48.75,lat48.75lon-93.75,1.5-degree,,,,
172,-90.75,48.75,lat48.75lon-90.75,1.5-degree,,,,
173,-89.25,48.75,lat48.75lon-89.25,1.5-degree,,,,
174,-83.25,48.75,lat48.75lon-83.25,1.5-degree,,,,
175,-81.75,48.75,lat48.75lon-81.75,1.5-degree,,,,
176,-80.25,48.75,lat48.75lon-80.25,1.5-degree,,,,
177,-78.75,48.75,lat48.75lon-78.75,1.5-degree,,,,
178,-75.75,48.75,lat48.75lon-75.75,1.5-degree,,,,
179,-74.25,48.75,lat48.75lon-74.25,1.5-degree,,,,
180,-72.75,48.75,lat48.75lon-72.75,1.5-degree,,,,
181,-71.25,48.75,lat48.75lon-71.25,1.5-degree,,,,
182,-66.75,48.75,lat48.75lon-66.75,1.5-degree,,,,
183,-65.25,48.75,lat48.75lon-65.25,1.5-degree,,,,
184,-98.25,35.25,lat35.25lon-98.25,1.5-degree,,,,
185,-96.75,35.25,lat35.25lon-96.75,1.5-degree,,,,
186,-95.25,35.25,lat35.25lon-95.25,1.5-degree,,,,
187,-93.75,35.25,lat35.25lon-93.75,1.5-degree,,,,
188,-90.75,35.25,lat35.25lon-90.75,1.5-degree,,,,
189,-89.25,35.25,lat35.25lon-89.25,1.5-degree,,,,
190,-87.75,35.25,lat35.25lon-87.75,1.5-degree,,,,
191,-86.25,35.25,lat35.25lon-86.25,1.5-degree,,,,
192,-83.25,35.25,lat35.25lon-83.25,1.5-degree,,,,
193,-81.75,35.25,lat35.25lon-81.75,1.5-degree,,,,
194,-80.25,35.25,lat35.25lon-80.25,1.5-degree,,,,
195,-78.75,35.25,lat35.25lon-78.75,1.5-degree,,,,
196,-99.75,36.75,lat36.75lon-99.75,1.5-degree,,,,
197,-92.25,36.75,lat36.75lon-92.25,1.5-degree,,,,
198,-84.75,36.75,lat36.75lon-84.75,1.5-degree,,,,
199,-77.25,36.75,lat36.75lon-77.25,1.5-degree,,,,
200,-99.75,38.25,lat38.25lon-99.75,1.5-degree,,,,
201,-92.25,38.25,lat38.25lon-92.25,1.5-degree,,,,
202,-84.75,38.25,lat38.25lon-84.75,1.5-degree,,,,
203,-77.25,38.25,lat38.25lon-77.25,1.5-degree,,,,
204,-99.75,39.75,lat39.75lon-99.75,1.5-degree,,,,
205,-92.25,39.75,lat39.75lon-92.25,1.5-degree,,,,
206,-84.75,39.75,lat39.75lon-84.75,1.5-degree,,,,
207,-77.25,39.75,lat39.75lon-77.25,1.5-degree,,,,
208,-99.75,41.25,lat41.25lon-99.75,1.5-degree,,,,
209,-92.25,41.25,lat41.25lon-92.25,1.5-degree,,,,
210,-84.75,41.25,lat41.25lon-84.75,1.5-degree,,,,
211,-77.25,41.25,lat41.25lon-77.25,1.5-degree,,,,
212,-98.25,42.75,lat42.75lon-98.25,1.5-degree,,,,
213,-96.75,42.75,lat42.75lon-96.75,1.5-degree,,,,
214,-95.25,42.75,lat42.75lon-95.25,1.5-degree,,,,
215,-93.75,42.75,lat42.75lon-93.75,1.5-degree,,,,
216,-90.75,42.75,lat42.75lon-90.75,1.5-degree,,,,
217,-89.25,42.75,lat42.75lon-89.25,1.5-degree,,,,
218,-87.75,42.75,lat42.75lon-87.75,1.5-degree,,,,
219,-86.25,42.75,lat42.75lon-86.25,1.5-degree,,,,
220,-83.25,42.75,lat42.75lon-83.25,1.5-degree,,,,
221,-78.75,42.75,lat42.75lon-78.75,1.5-degree,,,,
222,-75.75,42.75,lat42.75lon-75.75,1.5-degree,,,,
223,-74.25,42.75,lat42.75lon-74.25,1.5-degree,,,,
224,-72.75,42.75,lat42.75lon-72.75,1.5-degree,,,,
225,-71.25,42.75,lat42.75lon-71.25,1.5-degree,,,,
226,-99.75,44.25,lat44.25lon-99.75,1.5-degree,,,,
227,-92.25,44.25,lat44.25lon-92.25,1.5-degree,,,,
228,-84.75,44.25,lat44.25lon-84.75,1.5-degree,,,,
229,-99.75,45.75,lat45.75lon-99.75,1.5-degree,,,,
230,-92.25,45.75,lat45.75lon-92.25,1.5-degree,,,,
231,-77.25,45.75,lat45.75lon-77.25,1.5-degree,,,,
232,-69.75,45.75,lat45.75lon-69.75,1.5-degree,,,,
233,-99.75,47.25,lat47.25lon-99.75,1.5-degree,,,,
234,-92.25,47.25,lat47.25lon-92.25,1.5-degree,,,,
235,-77.25,47.25,lat47.25lon-77.25,1.5-degree,,,,
236,-69.75,47.25,lat47.25lon-69.75,1.5-degree,,,,
237,-99.75,48.75,lat48.75lon-99.75,1.5-degree,,,,
238,-92.25,48.75,lat48.75lon-92.25,1.5-degree,,,,
239,-84.75,48.75,lat48.75lon-84.75,1.5-degree,,,,
240,-77.25,48.75,lat48.75lon-77.25,1.5-degree,,,,
241,-69.75,48.75,lat48.75lon-69.75,1.5-degree,,,,
242,-99.25,35.75,lat35.75lon-99.25,1.0-degree,,,,
243,-96.25,35.75,lat35.75lon-96.25,1.0-degree,,,,
244,-94.25,35.75,lat35.75lon-94.25,1.0-degree,,,,
245,-93.25,35.75,lat35.75lon-93.25,1.0-degree,,,,
246,-91.25,35.75,lat35.75lon-91.25,1.0-degree,,,,
247,-90.25,35.75,lat35.75lon-90.25,1.0-degree,,,,
248,-88.25,35.75,lat35.75lon-88.25,1.0-degree,,,,
249,-85.25,35.75,lat35.75lon-85.25,1.0-degree,,,,
250,-84.25,35.75,lat35.75lon-84.25,1.0-degree,,,,
251,-81.25,35.75,lat35.75lon-81.25,1.0-degree,,,,
252,-79.25,35.75,lat35.75lon-79.25,1.0-degree,,,,
253,-78.25,35.75,lat35.75lon-78.25,1.0-degree,,,,
254,-99.25,38.75,lat38.75lon-99.25,1.0-degree,,,,
255,-96.25,38.75,lat38.75lon-96.25,1.0-degree,,,,
256,-94.25,38.75,lat38.75lon-94.25,1.0-degree,,,,
257,-93.25,38.75,lat38.75lon-93.25,1.0-degree,,,,
258,-91.25,38.75,lat38.75lon-91.25,1.0-degree,,,,
259,-90.25,38.75,lat38.75lon-90.25,1.0-degree,,,,
260,-88.25,38.75,lat38.75lon-88.25,1.0-degree,,,,
261,-85.25,38.75,lat38.75lon-85.25,1.0-degree,,,,
262,-84.25,38.75,lat38.75lon-84.25,1.0-degree,,,,
263,-81.25,38.75,lat38.75lon-81.25,1.0-degree,,,,
264,-79.25,38.75,lat38.75lon-79.25,1.0-degree,,,,
265,-78.25,38.75,lat38.75lon-78.25,1.0-degree,,,,
266,-76.25,38.75,lat38.75lon-76.25,1.0-degree,,,,
267,-75.25,38.75,lat38.75lon-75.25,1.0-degree,,,,
268,-99.25,40.75,lat40.75lon-99.25,1.0-degree,,,,
269,-96.25,40.75,lat40.75lon-96.25,1.0-degree,,,,
270,-94.25,40.75,lat40.75lon-94.25,1.0-degree,,,,
271,-93.25,40.75,lat40.75lon-93.25,1.0-degree,,,,
272,-91.25,40.75,lat40.75lon-91.25,1.0-degree,,,,
273,-90.25,40.75,lat40.75lon-90.25,1.0-degree,,,,
274,-88.25,40.75,lat40.75lon-88.25,1.0-degree,,,,
275,-85.25,40.75,lat40.75lon-85.25,1.0-degree,,,,
276,-84.25,40.75,lat40.75lon-84.25,1.0-degree,,,,
277,-81.25,40.75,lat40.75lon-81.25,1.0-degree,,,,
278,-79.25,40.75,lat40.75lon-79.25,1.0-degree,,,,
279,-78.25,40.75,lat40.75lon-78.25,1.0-degree,,,,
280,-76.25,40.75,lat40.75lon-76.25,1.0-degree,,,,
281,-75.25,40.75,lat40.75lon-75.25,1.0-degree,,,,
282,-99.25,41.75,lat41.75lon-99.25,1.0-degree,,,,
283,-96.25,41.75,lat41.75lon-96.25,1.0-degree,,,,
284,-94.25,41.75,lat41.75lon-94.25,1.0-degree,,,,
285,-93.25,41.75,lat41.75lon-93.25,1.0-degree,,,,
286,-91.25,41.75,lat41.75lon-91.25,1.0-degree,,,,
287,-90.25,41.75,lat41.75lon-90.25,1.0-degree,,,,
288,-88.25,41.75,lat41.75lon-88.25,1.0-degree,,,,
289,-85.25,41.75,lat41.75lon-85.25,1.0-degree,,,,
290,-84.25,41.75,lat41.75lon-84.25,1.0-degree,,,,
291,-81.25,41.75,lat41.75lon-81.25,1.0-degree,,,,
292,-79.25,41.75,lat41.75lon-79.25,1.0-degree,,,,
293,-78.25,41.75,lat41.75lon-78.25,1.0-degree,,,,
294,-76.25,41.75,lat41.75lon-76.25,1.0-degree,,,,
295,-75.25,41.75,lat41.75lon-75.25,1.0-degree,,,,
296,-73.25,41.75,lat41.75lon-73.25,1.0-degree,,,,
297,-99.25,43.75,lat43.75lon-99.25,1.0-degree,,,,
298,-96.25,43.75,lat43.75lon-96.25,1.0-degree,,,,
299,-94.25,43.75,lat43.75lon-94.25,1.0-degree,,,,
300,-93.25,43.75,lat43.75lon-93.25,1.0-degree,,,,
301,-91.25,43.75,lat43.75lon-91.25,1.0-degree,,,,
302,-90.25,43.75,lat43.75lon-90.25,1.0-degree,,,,
303,-88.25,43.75,lat43.75lon-88.25,1.0-degree,,,,
304,-85.25,43.75,lat43.75lon-85.25,1.0-degree,,,,
305,-84.25,43.75,lat43.75lon-84.25,1.0-degree,,,,
306,-81.25,43.75,lat43.75lon-81.25,1.0-degree,,,,
307,-79.25,43.75,lat43.75lon-79.25,1.0-degree,,,,
308,-76.25,43.75,lat43.75lon-76.25,1.0-degree,,,,
309,-75.25,43.75,lat43.75lon-75.25,1.0-degree,,,,
310,-73.25,43.75,lat43.75lon-73.25,1.0-degree,,,,
311,-99.25,44.75,lat44.75lon-99.25,1.0-degree,,,,
312,-96.25,44.75,lat44.75lon-96.25,1.0-degree,,,,
313,-94.25,44.75,lat44.75lon-94.25,1.0-degree,,,,
314,-93.25,44.75,lat44.75lon-93.25,1.0-degree,,,,
315,-91.25,44.75,lat44.75lon-91.25,1.0-degree,,,,
316,-90.25,44.75,lat44.75lon-90.25,1.0-degree,,,,
317,-88.25,44.75,lat44.75lon-88.25,1.0-degree,,,,
318,-85.25,44.75,lat44.75lon-85.25,1.0-degree,,,,
319,-84.25,44.75,lat44.75lon-84.25,1.0-degree,,,,
320,-81.25,44.75,lat44.75lon-81.25,1.0-degree,,,,
321,-79.25,44.75,lat44.75lon-79.25,1.0-degree,,,,
322,-78.25,44.75,lat44.75lon-78.25,1.0-degree,,,,
323,-76.25,44.75,lat44.75lon-76.25,1.0-degree,,,,
324,-75.25,44.75,lat44.75lon-75.25,1.0-degree,,,,
325,-73.25,44.75,lat44.75lon-73.25,1.0-degree,,,,
326,-70.25,44.75,lat44.75lon-70.25,1.0-degree,,,,
327,-69.25,44.75,lat44.75lon-69.25,1.0-degree,,,,
328,-99.25,46.75,lat46.75lon-99.25,1.0-degree,,,,
329,-96.25,46.75,lat46.75lon-96.25,1.0-degree,,,,
330,-94.25,46.75,lat46.75lon-94.25,1.0-degree,,,,
331,-93.25,46.75,lat46.75lon-93.25,1.0-degree,,,,
332,-91.25,46.75,lat46.75lon-91.25,1.0-degree,,,,
333,-88.25,46.75,lat46.75lon-88.25,1.0-degree,,,,
334,-85.25,46.75,lat46.75lon-85.25,1.0-degree,,,,
335,-84.25,46.75,lat46.75lon-84.25,1.0-degree,,,,
336,-81.25,46.75,lat46.75lon-81.25,1.0-degree,,,,
337,-79.25,46.75,lat46.75lon-79.25,1.0-degree,,,,
338,-78.25,46.75,lat46.75lon-78.25,1.0-degree,,,,
339,-76.25,46.75,lat46.75lon-76.25,1.0-degree,,,,
340,-75.25,46.75,lat46.75lon-75.25,1.0-degree,,,,
341,-73.25,46.75,lat46.75lon-73.25,1.0-degree,,,,
342,-70.25,46.75,lat46.75lon-70.25,1.0-degree,,,,
343,-69.25,46.75,lat46.75lon-69.25,1.0-degree,,,,
344,-66.25,46.75,lat46.75lon-66.25,1.0-degree,,,,
345,-64.25,46.75,lat46.75lon-64.25,1.0-degree,,,,
346,-99.25,49.75,lat49.75lon-99.25,1.0-degree,,,,
347,-96.25,49.75,lat49.75lon-96.25,1.0-degree,,,,
348,-94.25,49.75,lat49.75lon-94.25,1.0-degree,,,,
349,-93.25,49.75,lat49.75lon-93.25,1.0-degree,,,,
350,-91.25,49.75,lat49.75lon-91.25,1.0-degree,,,,
351,-90.25,49.75,lat49.75lon-90.25,1.0-degree,,,,
352,-85.25,49.75,lat49.75lon-85.25,1.0-degree,,,,
353,-84.25,49.75,lat49.75lon-84.25,1.0-degree,,,,
354,-81.25,49.75,lat49.75lon-81.25,1.0-degree,,,,
355,-79.25,49.75,lat49.75lon-79.25,1.0-degree,,,,
356,-78.25,49.75,lat49.75lon-78.25,1.0-degree,,,,
357,-76.25,49.75,lat49.75lon-76.25,1.0-degree,,,,
358,-75.25,49.75,lat49.75lon-75.25,1.0-degree,,,,
359,-73.25,49.75,lat49.75lon-73.25,1.0-degree,,,,
360,-70.25,49.75,lat49.75lon-70.25,1.0-degree,,,,
361,-69.25,49.75,lat49.75lon-69.25,1.0-degree,,,,
362,-63.25,49.75,lat49.75lon-63.25,1.0-degree,,,,
363,-98.25,35.75,lat35.75lon-98.25,1.0-degree,,,,
364,-97.25,35.75,lat35.75lon-97.25,1.0-degree,,,,
365,-95.25,35.75,lat35.75lon-95.25,1.0-degree,,,,
366,-92.25,35.75,lat35.75lon-92.25,1.0-degree,,,,
367,-89.25,35.75,lat35.75lon-89.25,1.0-degree,,,,
368,-87.25,35.75,lat35.75lon-87.25,1.0-degree,,,,
369,-86.25,35.75,lat35.75lon-86.25,1.0-degree,,,,
370,-83.25,35.75,lat35.75lon-83.25,1.0-degree,,,,
371,-82.25,35.75,lat35.75lon-82.25,1.0-degree,,,,
372,-80.25,35.75,lat35.75lon-80.25,1.0-degree,,,,
373,-77.25,35.75,lat35.75lon-77.25,1.0-degree,,,,
374,-99.25,36.75,lat36.75lon-99.25,1.0-degree,,,,
375,-97.25,36.75,lat36.75lon-97.25,1.0-degree,,,,
376,-96.25,36.75,lat36.75lon-96.25,1.0-degree,,,,
377,-94.25,36.75,lat36.75lon-94.25,1.0-degree,,,,
378,-93.25,36.75,lat36.75lon-93.25,1.0-degree,,,,
379,-91.25,36.75,lat36.75lon-91.25,1.0-degree,,,,
380,-90.25,36.75,lat36.75lon-90.25,1.0-degree,,,,
381,-88.25,36.75,lat36.75lon-88.25,1.0-degree,,,,
382,-87.25,36.75,lat36.75lon-87.25,1.0-degree,,,,
383,-85.25,36.75,lat36.75lon-85.25,1.0-degree,,,,
384,-84.25,36.75,lat36.75lon-84.25,1.0-degree,,,,
